reward,cva,seed,steps_recorded,last_step,init_mae_display,best_mae,best_step,final_mae_display,final_oracle_mae,final_minus_best,init_minus_best,reward_l1_last,reward_l2_last,reward_tt_last,reward_prior_last
envelope_ncc,5,42,645,645,413.86,118.44,145,167.43,158.4,48.99000000000001,295.42,0.0,1.0,0.0,-358.3034
envelope_ncc,6,42,1255,1255,421.4,47.96,755,50.96,50.41,3.0,373.44,0.0,1.0,0.0,-730.1815
envelope_ncc,8,42,678,678,212.26,73.58,178,87.84,85.03,14.260000000000005,138.68,0.0,1.0,0.0,-363.9005
envelope_ncc,10,42,551,551,458.57,146.66,51,241.54,232.47,94.88,311.90999999999997,0.0,1.0,0.0,-689.8582
envelope_ncc,15,42,662,662,254.86,64.33,162,83.86,81.19,19.53,190.53000000000003,0.0,1.0,0.0,-847.3711
envelope_ncc,16,42,668,668,446.25,100.11,168,116.24,113.54,16.129999999999995,346.14,0.0,1.0,0.0,-604.2758
envelope_ncc,18,42,1045,1045,459.85,22.58,545,50.81,50.0,28.230000000000004,437.27000000000004,0.0,1.0,0.0,-516.7358
envelope_ncc,50,42,708,708,542.43,62.3,208,132.77,128.69,70.47000000000001,480.12999999999994,0.0,1.0,0.0,-121.752
awi,1,42,780,780,674.09,23.65,280,51.35,48.57,27.700000000000003,650.44,0.0,-7.63,0.0,-1801.4102
awi,2,42,627,627,512.24,83.86,127,125.38,121.22,41.519999999999996,428.38,0.0,-7.55,0.0,-743.1055
awi,5,42,645,645,413.86,117.48,145,187.68,178.24,70.2,296.38,0.0,-7.62,0.0,-381.9542
awi,6,42,1236,1236,421.4,53.88,736,64.36,63.91,10.479999999999997,367.52,0.0,-7.56,0.0,-756.7827
awi,8,42,670,670,212.26,75.6,170,90.87,83.77,15.27000000000001,136.66,0.0,-7.58,0.0,-329.3066
awi,10,42,551,551,458.57,147.1,51,252.06,243.16,104.96000000000001,311.47,0.0,-7.69,0.0,-722.3981
awi,15,42,1322,1322,254.86,57.81,822,59.49,59.2,1.6799999999999997,197.05,0.0,-7.58,0.0,-899.9942
awi,16,42,706,706,446.25,95.66,206,128.88,123.54,33.22,350.59000000000003,0.0,-7.68,0.0,-632.611
awi,18,42,801,801,459.85,22.75,301,40.79,37.77,18.04,437.1,0.0,-7.54,0.0,-524.1838
awi,50,42,793,793,607.18,50.39,293,89.55,89.55,39.16,556.79,0.0,-7.61,0.0,-59.4439
